Ökuskírteinisnúmer;Kennitala;Netfang;Fornafn;Eftirnafn;Fæðingar dagssetning;Símanúmer;Fornafn kortahafa;Eftirnafn kortahafa;Kortanúmer;Gildistími korts
55lstfbs;2011012190;gu@temala.net;Guðni;Gunnarsson;2001-11-20;5556969;Guðni;Gunnarsson;5372832015884476;12/20
037197939;N/A;vincentmn@hotmail.com;Vincent;Monroe;1997-02-11;8269812;Vincent;Monroe;4398688974334165;10/19
837123097;150282-2149;johanns@gmail.com;Jóhann;Arnarsson;1982-02-15;8542492;Jóhann;Arnarsson;4248104285058339;09/27
483728190;2709665289;astas@hotmail.com;Ásta;Svavarsdóttir;1966-09-27;8635681;Ásta;Svavarsdóttir;4898386055735732;11/21
693823458;3112729489;bambi@disney.com;Bambi;Dadsson;1972-12-31;0015455501998;Bambi's Dad;N/A;4410238121196457;12/21
482913059;N/A;darock@johnsson.com;Dwayne The Rock;Johnsson;1975-02-13;01457238890;Dwayne;Johnsson;4195948444030008;06/24
923184390kdik;N/A;jolly_rancher@happiness.joy;Mr. Jolly;Rancher;1950-12-12;0125849923;Mr. Jolly;Rancher;4258426788173704;03/24
938i2469kdq;N/A;abbybotts@yahoo.co.uk;Abigail;Botts;1982-04-15;849178390;John;Mayer's;4206320386332353;09/24
281992ki3ri9e2;N/A;freddyk@murder.co.us;Frederick;Krueger;1954-10-14;949284990;Frederick;Krueger;4039083684113106;12/22
582811749;2212927239;donnifaro@homtail.com;Eymundur;Bogason;1992-12-22;7548901;Eymundur;Bogason;4107596405273948;08/25
84892300ki;N/A;benny_n_the_jets@jets.co;Benny;And The Jets;1999-02-14;5439992184;Benny;And The Jets;4191605112233595;07/26
938871289idkw;3109972429;hilla.k@hilla.com;Hildur;Sigurjónsdóttir;1997-03-08;8477345;Hildur;Sigurjónsdóttir;4553708148143226;08/24
58839200k4d9;N/A;thebabadook@scary.stuff.com;Mr. Babadook;N/A;2015-12-11;848339901;Mr. Babadook;N/A;4482669517156171;05/19
589301903;2709775319;donnyd@whoahdude.co.ir;Donny;Darko;1977-09-27;6848299499;Donny;Darko;4537807349331357;03/24
3838119004ik;N/A;animalguy@animals.love;Steve;Irwin;1962-09-28;582883301;Steve;Irwin;4364469385161855;07/19
829193949;1903574279;linda.johanns@simnet.is;Linda;Jóhannsdóttir;1957-03-19;5846438;Linda;Jóhannsdóttir;4913192238982584;11/22
stfegill;98765;Egill Anton Hlöðversson;egillcool@hotmail.com;1234567
332037279;1010065710;bjoggicool@gmail.com;Björgvin;Björgvinsson;2006-10-10;5812345;Björgvin;Björgvinsson;172836293001631;11/23
